symbol,name,screens,screen_count,discovery_score,price,market_cap,trailing_pe,forward_pe,price_to_book,change_52w_pct,avg_volume_3m,exchange,quote_time
CNX,CNX Resources Corporation,cashflow_value,1,41.24,33.28,4708374528,4.437333,8.12752,1.0210154,2.7794957,1868869,NYSE,1784318403
GIII,"G-III Apparel Group, Ltd.",cashflow_value,1,41.22,35.42,1494390016,12.47183,14.34008,0.8192436,52.60663,568004,NasdaqGS,1784318401
NEXA,Nexa Resources S.A.,cashflow_value,1,41.21,12.19,1614426624,7.7151895,3.4305847,1.4149739,146.26262,1058979,NYSE,1784318402
DGICA,Donegal Group Inc.,cashflow_value,1,41.19,18.71,693198080,10.511235,9.978666,1.0669479,2.3522973,136506,NasdaqGS,1784318401
ASC,Ardmore Shipping Corporation,asset_value,1,40.82,15.4,628360256,11.666666,18.011696,0.9596211,54.463387,685172,NYSE,1784318403
AMPH,"Amphastar Pharmaceuticals, Inc.",cashflow_value,1,40.77,19.745,870614720,11.894579,6.582369,1.1396168,-6.7956567,608272,NasdaqGS,1784318400
LKQ,LKQ Corporation,fallen_profitable,1,40.6,25.38,6466591232,12.69,7.6349425,1.0016971,-31.60873,3028070,NasdaqGS,1784318401
PAGS,PagSeguro Digital Ltd.,cashflow_value,1,40.15,9.04,2526854656,6.411348,4.804958,0.8836138,13.0,3431851,NYSE,1784318402
FPI,Farmland Partners Inc.,asset_value,1,39.73,9.71,430795968,16.457628,48.55,0.9146571,-14.824563,397364,NYSE,1784318403
EIC,Eagle Point Income Company Inc.,asset_value,1,39.68,9.89,231757872,,6.932227,0.8245103,-26.41369,109574,NYSE,1784318403
HIPO,Hippo Holdings Inc.,cashflow_value,1,39.65,29.33,763633408,6.665909,9.798451,1.7018684,10.22172,139485,NYSE,1784318403
DOX,Amdocs Limited,fallen_profitable,1,39.41,52.63,5587411456,10.50499,6.528424,1.6519666,-40.213562,1346577,NasdaqGS,1784318401
PERI,Perion Network Ltd.,asset_value,1,39.24,9.37,387008064,,7.1938577,0.5640501,-16.264523,461351,NasdaqGS,1784318400
SSYS,Stratasys Ltd.,asset_value,1,39.18,8.14,706665984,,45.22222,0.8559411,-25.79763,965712,NasdaqGS,1784318400
RVT,"Royce Small-Cap Trust, Inc.",asset_value,1,39.15,17.92,2192759552,6.1793103,,1.013059,17.04768,305735,NYSE,1784318402
KRNT,Kornit Digital Ltd.,asset_value,1,38.98,15.025,696265664,,54.835766,0.9824756,-29.360603,238866,NasdaqGS,1784318401
CALM,"Cal-Maine Foods, Inc.",cashflow_value,1,38.74,88.55,4195196928,6.1621437,36.515465,1.553618,-16.596025,784283,NasdaqGS,1784318400
PBH,Prestige Consumer Healthcare Inc.,fallen_profitable,1,38.71,49.92,2364818432,12.767262,9.846153,1.2514728,-33.9333,693716,NYSE,1784318402
PLGO,Pelagos Insurance Capital Limit,cashflow_value,1,38.64,25.4,2171617792,6.9780216,6.2476788,0.96350807,60.556255,429988,NYSE,1784318402
SPOK,"Spok Holdings, Inc.",fallen_profitable,1,38.46,10.64,222237792,18.0339,12.666668,1.5755961,-39.2,174448,NasdaqGS,1784318401
UFCS,"United Fire Group, Inc.",cashflow_value,1,38.34,51.09,1310773504,10.300404,11.278145,1.3786869,87.761856,146422,NasdaqGS,1784318401
LPG,Dorian LPG Ltd.,cashflow_value,1,38.29,41.03,1755373312,9.037445,11.910014,1.5411487,46.32667,667535,NYSE,1784318403
VTOL,Bristow Group Inc.,cashflow_value,1,38.27,44.17,1307688704,11.502604,8.397338,1.234868,24.774015,252683,NYSE,1784318403
GPOR,Gulfport Energy Corporation,cashflow_value,1,38.2,152.91,2747737600,5.0282803,5.27498,1.5278319,-9.20912,395309,NYSE,1784318402
PLAB,"Photronics, Inc.",cashflow_value,1,38.18,28.85,1701102592,10.645757,14.282179,1.3516047,47.94872,1508120,NasdaqGS,1784318400
VVR,Invesco Senior Income Trust,asset_value,1,38.12,2.96,455618080,32.88889,,0.7942045,-20.21563,891151,NYSE,1784318402
STRA,"Strategic Education, Inc.",cashflow_value,1,38.03,76.53,1739556864,13.545133,9.455935,1.0473375,-1.4550626,294943,NasdaqGS,1784318401
UVE,"Universal Insurance Holdings, Inc.",cashflow_value,1,38.03,38.91,1086021632,5.755917,8.843182,1.9777371,52.588238,219464,NYSE,1784318403
ROOT,"Root, Inc.",fallen_profitable,1,37.95,59.63,943722048,17.642012,19.486929,2.8726275,-50.93796,277209,NasdaqGS,1784318400
APT,"Alpha Pro Tech, Ltd.",asset_value,1,37.73,5.16,52719368,15.17647,4.448276,0.8297154,8.40336,100511,NYSE American,1784318400
DMC,Del Monte Corporation,asset_value,1,37.69,29.33,1395421952,20.227585,8.703264,0.6925456,-15.377956,489666,NYSE,1784318403
SBH,"Sally Beauty Holdings, Inc.",cashflow_value,1,37.69,14.88,1419678336,8.220995,6.642857,1.7031016,59.314774,1544572,NYSE,1784318402
NBR,Nabors Industries Ltd.,cashflow_value,1,37.33,83.89,1241228800,6.136796,20.444021,2.1819649,175.59132,307780,NYSE,1784318402
FG,"F&G Annuities & Life, Inc.",cashflow_value,1,37.31,32.1,4252768000,8.316062,6.305244,0.92949176,4.594326,788311,NYSE,1784318402
STNG,Scorpio Tankers Inc.,cashflow_value,1,37.28,76.49,3806796544,7.550839,12.323222,1.0277598,78.631485,955091,NYSE,1784318403
HG,"Hamilton Insurance Group, Ltd.",cashflow_value,1,37.09,34.94,3468004608,5.7372737,7.492291,1.2740664,66.14361,503785,NYSE,1784318402
ZVRA,"Zevra Therapeutics, Inc.",cashflow_value,1,37.06,12.77,754899648,6.3532343,10.6861925,3.6684864,8.866156,1671614,NasdaqGS,1784318401
SENEA,Seneca Foods Corporation,cashflow_value,1,36.92,170.09,1152707072,10.258745,,1.525635,64.29055,138606,NasdaqGS,1784318400
INGR,Ingredion Incorporated,fallen_profitable,1,36.81,102.56,6467337216,9.861539,8.869195,1.4741775,-22.921991,891727,NYSE,1784318402
TKC,Turkcell Iletisim Hizmetleri A.S.,cashflow_value,1,36.63,5.72,4979700224,12.711111,10.792453,0.05122464,-1.7182112,1611450,NYSE,1784318402
SPNT,SiriusPoint Ltd.,cashflow_value,1,36.62,24.9,2926798848,6.2720404,9.0054245,1.2538396,28.948736,780461,NYSE,1784318403
CGAU,Centerra Gold Inc.,cashflow_value,1,36.6,15.09,2996799488,4.867742,7.4469976,1.4319606,100.9321,1577061,NYSE,1784318403
INMD,InMode Ltd.,cashflow_value,1,36.33,15.47,889227584,11.459259,10.683702,1.4346657,10.816622,820720,NasdaqGS,1784318401
REPX,"Riley Exploration Permian, Inc.",cashflow_value,1,36.12,35.0,759358208,12.195123,4.2514424,1.3639375,32.575764,331625,NYSE American,1784318400
SPIR,"Spire Global, Inc.",cashflow_value,1,35.46,12.14,469958208,7.63522,-48.56,4.4632354,0.663352,1476333,NYSE,1784318402
