date,Open,High,Low,Close,Volume
2025-08-19 00:00:00-04:00,117.6000,119.1300,115.4200,117.9600,3167500
2025-08-20 00:00:00-04:00,115.1400,116.5900,111.2000,115.8900,3361600
2025-08-21 00:00:00-04:00,115.8900,117.8370,115.2050,117.4300,1867300
2025-08-22 00:00:00-04:00,116.8350,121.9900,115.8900,119.3400,2679800
2025-08-25 00:00:00-04:00,120.0000,125.4000,119.2500,123.4200,2887600
2025-08-26 00:00:00-04:00,124.3900,127.0300,123.5000,124.6200,3018600
2025-08-27 00:00:00-04:00,124.8600,128.2100,123.7790,125.8400,2972200
2025-08-28 00:00:00-04:00,128.2500,137.0800,127.1100,135.5500,6643900
2025-08-29 00:00:00-04:00,136.4600,137.1000,131.1800,132.8100,2842600
2025-09-02 00:00:00-04:00,127.8700,132.8800,125.0000,132.5550,2671600
2025-09-03 00:00:00-04:00,132.3400,135.2500,130.9700,134.1200,5219000
2025-09-04 00:00:00-04:00,137.0000,142.0100,133.9100,141.9100,8464800
2025-09-05 00:00:00-04:00,149.5000,152.2700,144.2000,149.4600,6409700
2025-09-08 00:00:00-04:00,150.9900,152.2500,148.4200,149.4000,3453200
2025-09-09 00:00:00-04:00,149.0200,152.6500,148.0100,151.7300,2154100
2025-09-10 00:00:00-04:00,159.5000,167.9600,158.3000,164.8800,5794000
2025-09-11 00:00:00-04:00,166.1500,168.0050,161.5700,164.8800,3672400
2025-09-12 00:00:00-04:00,163.7800,166.5000,161.5800,163.0200,2954300
2025-09-15 00:00:00-04:00,163.6600,171.4800,162.7100,168.7700,3859200
2025-09-16 00:00:00-04:00,168.6500,171.8700,167.1500,170.9000,2925000
2025-09-17 00:00:00-04:00,168.7100,169.5780,160.8450,163.3400,4947600
2025-09-18 00:00:00-04:00,167.3600,173.3850,167.1250,171.5000,3518000
2025-09-19 00:00:00-04:00,171.3700,172.5000,167.5700,168.7300,4448300
2025-09-22 00:00:00-04:00,169.3800,170.0400,161.2100,164.7100,4080300
2025-09-23 00:00:00-04:00,164.6500,166.3150,161.2200,163.9900,3052000
2025-09-24 00:00:00-04:00,162.4750,163.1000,151.3700,152.7500,5478400
2025-09-25 00:00:00-04:00,146.6200,160.8300,144.5200,159.1100,4751700
2025-09-26 00:00:00-04:00,157.3600,160.8500,156.0700,160.7500,2310000
2025-09-29 00:00:00-04:00,165.0000,165.8700,162.2700,162.5800,2385200
2025-09-30 00:00:00-04:00,161.8800,165.5000,160.0000,162.7100,1709600
2025-10-01 00:00:00-04:00,159.2400,173.6000,158.6000,171.4000,3262200
2025-10-02 00:00:00-04:00,176.7500,178.4930,166.0590,169.7500,2194600
2025-10-03 00:00:00-04:00,170.8800,171.8000,159.7000,163.8100,3197400
2025-10-06 00:00:00-04:00,169.0000,170.7600,158.2100,160.6000,3114100
2025-10-07 00:00:00-04:00,160.9900,162.7490,154.1100,157.1500,2523900
2025-10-08 00:00:00-04:00,159.3800,163.6600,158.4700,163.0900,2258200
2025-10-09 00:00:00-04:00,163.6600,165.0300,159.1900,159.7600,1854400
2025-10-10 00:00:00-04:00,160.8000,160.8000,147.8100,149.6100,3375900
2025-10-13 00:00:00-04:00,158.3000,160.7800,155.4100,160.5600,2837900
2025-10-14 00:00:00-04:00,155.5200,161.1900,152.7800,156.7800,2444000
2025-10-15 00:00:00-04:00,162.4500,162.4500,154.6200,156.5700,2393300
2025-10-16 00:00:00-04:00,159.8800,168.1000,158.6200,163.2300,2608200
2025-10-17 00:00:00-04:00,160.6300,170.6000,160.4400,164.7700,2075300
2025-10-20 00:00:00-04:00,164.1800,169.9800,160.6000,161.0000,2675000
2025-10-21 00:00:00-04:00,161.0000,165.7560,157.5000,162.9500,2416700
2025-10-22 00:00:00-04:00,164.5300,166.9100,152.5400,158.0600,2407300
2025-10-23 00:00:00-04:00,158.8100,170.1700,157.3950,168.5000,2404400
2025-10-24 00:00:00-04:00,175.5500,182.0800,173.7300,179.3000,4055500
2025-10-27 00:00:00-04:00,193.6300,206.9100,190.0600,193.8000,5437800
2025-10-28 00:00:00-04:00,193.8100,199.8200,188.3000,198.3900,3168800
2025-10-29 00:00:00-04:00,201.0900,214.5000,198.1100,214.2800,6030200
2025-10-30 00:00:00-04:00,206.5700,212.9400,198.5400,200.1300,4242400
2025-10-31 00:00:00-04:00,201.2100,206.9900,197.1900,201.5600,3449900
2025-11-03 00:00:00-05:00,208.6900,210.9900,196.4700,199.5800,5246900
2025-11-04 00:00:00-05:00,187.8000,197.0700,184.2000,188.3600,5864300
2025-11-05 00:00:00-05:00,218.5000,240.7100,213.0000,232.7500,11152700
2025-11-06 00:00:00-05:00,243.7200,258.3500,236.9800,239.6800,7209900
2025-11-07 00:00:00-05:00,233.6400,243.7500,227.1200,240.1100,5621300
2025-11-10 00:00:00-05:00,256.7650,273.8920,255.7200,259.8900,7156800
2025-11-11 00:00:00-05:00,252.0100,259.2000,248.8950,252.4700,3518500
2025-11-12 00:00:00-05:00,262.4600,270.0000,250.7950,253.8100,4959800
2025-11-13 00:00:00-05:00,248.0700,249.3900,220.3400,226.8600,5436500
2025-11-14 00:00:00-05:00,215.5200,237.2200,215.3500,232.1500,4483900
2025-11-17 00:00:00-05:00,236.5000,252.1200,233.0000,242.0700,4212300
2025-11-18 00:00:00-05:00,245.3500,252.8300,232.1100,247.4300,5416400
2025-11-19 00:00:00-05:00,258.9600,280.2200,253.9500,268.9200,6481800
2025-11-20 00:00:00-05:00,280.0000,282.6600,229.5850,233.2400,7680900
2025-11-21 00:00:00-05:00,249.5000,259.0000,233.7200,255.5900,7714600
2025-11-24 00:00:00-05:00,267.2000,300.0000,266.0050,299.3600,7586200
