date,Open,High,Low,Close,Volume
2025-08-14 00:00:00-04:00,19.4000,19.8000,18.2300,18.8600,1352900
2025-08-15 00:00:00-04:00,18.6700,18.9100,17.3300,18.3100,1198500
2025-08-18 00:00:00-04:00,18.2900,19.5900,18.2000,19.3900,1339500
2025-08-19 00:00:00-04:00,19.3200,19.8300,17.0400,17.5900,1850500
2025-08-20 00:00:00-04:00,17.4300,17.5600,16.3800,17.3800,1076000
2025-08-21 00:00:00-04:00,17.1000,17.9800,17.0400,17.6600,1146400
2025-08-22 00:00:00-04:00,17.6900,18.5400,17.3300,18.1000,1510600
2025-08-25 00:00:00-04:00,21.0700,25.7700,21.0000,24.5900,10612000
2025-08-26 00:00:00-04:00,26.0000,26.4300,24.8000,25.8900,4148500
2025-08-27 00:00:00-04:00,25.1300,25.2600,23.5400,24.3000,2129600
2025-08-28 00:00:00-04:00,24.0400,27.5100,24.0400,27.0500,3199700
2025-08-29 00:00:00-04:00,26.8000,26.8500,24.6500,24.9500,1763000
2025-09-02 00:00:00-04:00,23.5500,25.0000,22.8800,24.8800,1620200
2025-09-03 00:00:00-04:00,25.0800,25.4900,24.2500,24.5200,913500
2025-09-04 00:00:00-04:00,24.3000,26.5000,23.9100,26.2900,1381000
2025-09-05 00:00:00-04:00,26.8500,27.0800,25.3100,25.5600,968200
2025-09-08 00:00:00-04:00,26.0600,26.2900,24.6400,25.1900,923000
2025-09-09 00:00:00-04:00,25.2300,26.9500,24.2800,26.8300,1505600
2025-09-10 00:00:00-04:00,27.4100,27.7400,26.0100,26.4000,1065800
2025-09-11 00:00:00-04:00,26.5200,28.4100,26.4200,26.5700,1626000
2025-09-12 00:00:00-04:00,26.5100,27.2300,25.5900,26.4700,1026200
2025-09-15 00:00:00-04:00,26.9400,28.8000,26.2300,28.7800,1486400
2025-09-16 00:00:00-04:00,28.8800,29.0000,26.6000,28.5100,1431500
2025-09-17 00:00:00-04:00,28.2700,29.2500,27.2100,28.3300,1215300
2025-09-18 00:00:00-04:00,29.2500,31.6500,28.8000,30.5700,2301100
2025-09-19 00:00:00-04:00,30.4200,31.2000,29.9100,29.9500,1361700
2025-09-22 00:00:00-04:00,29.5600,32.6300,29.3600,32.5300,1881300
2025-09-23 00:00:00-04:00,32.9100,34.1000,32.2200,33.6300,1929100
2025-09-24 00:00:00-04:00,33.8400,33.8700,31.7500,32.2400,1527900
2025-09-25 00:00:00-04:00,30.9400,31.4800,30.1400,30.8800,1623000
2025-09-26 00:00:00-04:00,30.9200,31.4500,28.5500,30.1900,1936900
2025-09-29 00:00:00-04:00,31.0000,32.0800,29.6200,30.4500,1581500
2025-09-30 00:00:00-04:00,30.4100,30.9400,29.4100,30.1100,1740100
2025-10-01 00:00:00-04:00,30.0200,33.4500,30.0200,33.2500,1797100
2025-10-02 00:00:00-04:00,33.9500,34.3500,32.1200,32.2500,1406400
2025-10-03 00:00:00-04:00,32.3200,32.6700,30.8100,31.0200,1561000
2025-10-06 00:00:00-04:00,30.5100,32.5500,29.7600,31.6500,3273000
2025-10-07 00:00:00-04:00,25.5500,26.2900,22.9200,26.1500,8444200
2025-10-08 00:00:00-04:00,25.7300,26.8500,25.2200,25.8500,2367000
2025-10-09 00:00:00-04:00,25.2000,25.9700,24.4000,25.1500,1883700
2025-10-10 00:00:00-04:00,25.0400,25.7600,23.4400,23.4900,2053100
2025-10-13 00:00:00-04:00,24.6100,25.5500,23.4900,25.5200,1480500
2025-10-14 00:00:00-04:00,24.6600,27.9800,23.7500,27.2900,1840000
2025-10-15 00:00:00-04:00,27.9300,29.4600,27.7000,29.2500,1782100
2025-10-16 00:00:00-04:00,29.7000,29.7100,26.6700,26.7100,1446800
2025-10-17 00:00:00-04:00,26.2100,26.8300,24.5700,24.7600,1606000
2025-10-20 00:00:00-04:00,25.9100,28.8700,25.7600,28.8000,2638800
2025-10-21 00:00:00-04:00,28.2200,28.2800,25.7700,25.9200,1777500
2025-10-22 00:00:00-04:00,25.0500,25.6600,22.6100,23.6800,1902100
2025-10-23 00:00:00-04:00,23.5100,25.3400,23.0500,25.0900,1383600
2025-10-24 00:00:00-04:00,25.8100,26.0000,24.9000,24.9700,1155800
2025-10-27 00:00:00-04:00,25.4200,25.5000,24.2700,25.1400,1247400
2025-10-28 00:00:00-04:00,25.3000,26.3100,24.8500,25.0900,1097300
2025-10-29 00:00:00-04:00,25.7500,28.1000,25.1100,27.0000,1635600
2025-10-30 00:00:00-04:00,26.4000,26.5400,24.9300,25.1000,1173400
2025-10-31 00:00:00-04:00,25.3800,26.2800,25.3100,25.9900,1070600
2025-11-03 00:00:00-05:00,26.5700,27.0000,25.6200,26.0000,1317900
2025-11-04 00:00:00-05:00,24.6100,25.9800,23.8000,24.8000,1474400
2025-11-05 00:00:00-05:00,25.2100,26.0600,24.9500,25.7300,1130000
2025-11-06 00:00:00-05:00,25.3500,25.4300,23.1300,23.6900,992600
2025-11-07 00:00:00-05:00,23.0100,24.4800,22.6600,24.4800,803200
2025-11-10 00:00:00-05:00,25.0900,25.4900,24.0600,24.5900,844100
2025-11-11 00:00:00-05:00,24.0400,24.1100,22.7600,23.1600,788200
2025-11-12 00:00:00-05:00,23.8300,23.9000,22.2600,23.2200,881700
2025-11-13 00:00:00-05:00,22.8700,23.0000,20.6800,20.7400,945600
2025-11-14 00:00:00-05:00,19.2800,21.6400,19.2700,20.3400,1286500
